"max_co2","time_st","vehicle","__dt"
"11307.68","94.0","2","2023-04-11 00:00:00.000"
"11307.68","95.0","2","2023-04-11 00:00:00.000"
"11307.68","96.0","2","2023-04-11 00:00:00.000"
"11307.68","97.0","2","2023-04-11 00:00:00.000"
"11307.68","98.0","2","2023-04-11 00:00:00.000"
"11307.68","99.0","2","2023-04-11 00:00:00.000"
"11307.68","100.0","2","2023-04-11 00:00:00.000"
"11307.68","101.0","2","2023-04-11 00:00:00.000"
"11307.68","102.0","2","2023-04-11 00:00:00.000"
"11307.68","103.0","2","2023-04-11 00:00:00.000"
"11307.68","104.0","2","2023-04-11 00:00:00.000"
"11307.68","105.0","2","2023-04-11 00:00:00.000"
"11307.68","106.0","2","2023-04-11 00:00:00.000"
"11307.68","107.0","2","2023-04-11 00:00:00.000"
"11307.68","108.0","2","2023-04-11 00:00:00.000"
"11307.68","109.0","2","2023-04-11 00:00:00.000"
"11307.68","110.0","2","2023-04-11 00:00:00.000"
"11307.68","111.0","2","2023-04-11 00:00:00.000"
"11307.68","112.0","2","2023-04-11 00:00:00.000"
"11307.68","113.0","2","2023-04-11 00:00:00.000"
"11307.68","133.0","2","2023-04-11 00:00:00.000"
"11307.68","134.0","2","2023-04-11 00:00:00.000"
"11307.68","135.0","2","2023-04-11 00:00:00.000"
"11307.68","136.0","2","2023-04-11 00:00:00.000"
"11307.68","137.0","2","2023-04-11 00:00:00.000"
"11307.68","138.0","2","2023-04-11 00:00:00.000"
"11307.68","139.0","2","2023-04-11 00:00:00.000"
"11307.68","140.0","2","2023-04-11 00:00:00.000"
"11307.68","141.0","2","2023-04-11 00:00:00.000"
"11307.68","142.0","2","2023-04-11 00:00:00.000"
"11307.68","143.0","2","2023-04-11 00:00:00.000"
"11307.68","144.0","2","2023-04-11 00:00:00.000"
"11307.68","145.0","2","2023-04-11 00:00:00.000"
"11307.68","146.0","2","2023-04-11 00:00:00.000"
"11307.68","147.0","2","2023-04-11 00:00:00.000"
"11307.68","148.0","2","2023-04-11 00:00:00.000"
"11307.68","149.0","2","2023-04-11 00:00:00.000"
"11307.68","150.0","2","2023-04-11 00:00:00.000"
"11307.68","151.0","2","2023-04-11 00:00:00.000"
"11307.68","152.0","2","2023-04-11 00:00:00.000"
"11307.68","54.0","2","2023-04-11 00:00:00.000"
"11307.68","55.0","2","2023-04-11 00:00:00.000"
"11307.68","56.0","2","2023-04-11 00:00:00.000"
"11307.68","57.0","2","2023-04-11 00:00:00.000"
"11307.68","58.0","2","2023-04-11 00:00:00.000"
"11307.68","59.0","2","2023-04-11 00:00:00.000"
"11307.68","60.0","2","2023-04-11 00:00:00.000"
"11307.68","61.0","2","2023-04-11 00:00:00.000"
"11307.68","62.0","2","2023-04-11 00:00:00.000"
"11307.68","63.0","2","2023-04-11 00:00:00.000"
"11307.68","64.0","2","2023-04-11 00:00:00.000"
"11307.68","65.0","2","2023-04-11 00:00:00.000"
"11307.68","66.0","2","2023-04-11 00:00:00.000"
"11307.68","67.0","2","2023-04-11 00:00:00.000"
"11307.68","68.0","2","2023-04-11 00:00:00.000"
"11307.68","69.0","2","2023-04-11 00:00:00.000"
"11307.68","70.0","2","2023-04-11 00:00:00.000"
"11307.68","71.0","2","2023-04-11 00:00:00.000"
"11307.68","72.0","2","2023-04-11 00:00:00.000"
"11307.68","73.0","2","2023-04-11 00:00:00.000"
"2624.72","1.0","2","2023-04-11 00:00:00.000"
