"max_co2","time_st","vehicle","__dt"
"19466.87","114.0","4","2023-04-11 00:00:00.000"
"19466.87","115.0","4","2023-04-11 00:00:00.000"
"19466.87","116.0","4","2023-04-11 00:00:00.000"
"19466.87","117.0","4","2023-04-11 00:00:00.000"
"19466.87","118.0","4","2023-04-11 00:00:00.000"
"19466.87","119.0","4","2023-04-11 00:00:00.000"
"19466.87","120.0","4","2023-04-11 00:00:00.000"
"19466.87","121.0","4","2023-04-11 00:00:00.000"
"19466.87","122.0","4","2023-04-11 00:00:00.000"
"19466.87","123.0","4","2023-04-11 00:00:00.000"
