"max_co2","time_st","vehicle","__dt"
"12353.41","93.0","0","2023-04-10 00:00:00.000"
"12353.41","94.0","0","2023-04-10 00:00:00.000"
"12353.41","95.0","0","2023-04-10 00:00:00.000"
"12353.41","96.0","0","2023-04-10 00:00:00.000"
"12353.41","97.0","0","2023-04-10 00:00:00.000"
"12353.41","98.0","0","2023-04-10 00:00:00.000"
"12353.41","99.0","0","2023-04-10 00:00:00.000"
"12353.41","100.0","0","2023-04-10 00:00:00.000"
"12353.41","101.0","0","2023-04-10 00:00:00.000"
"12353.41","102.0","0","2023-04-10 00:00:00.000"
"12353.41","103.0","0","2023-04-10 00:00:00.000"
"12353.41","104.0","0","2023-04-10 00:00:00.000"
"12353.41","105.0","0","2023-04-10 00:00:00.000"
"12353.41","106.0","0","2023-04-10 00:00:00.000"
"12353.41","107.0","0","2023-04-10 00:00:00.000"
"12353.41","108.0","0","2023-04-10 00:00:00.000"
"12353.41","109.0","0","2023-04-10 00:00:00.000"
"12353.41","110.0","0","2023-04-10 00:00:00.000"
"12353.41","111.0","0","2023-04-10 00:00:00.000"
"12353.41","112.0","0","2023-04-10 00:00:00.000"
"17957.92","132.0","0","2023-04-10 00:00:00.000"
"17957.92","133.0","0","2023-04-10 00:00:00.000"
"23476.3","134.0","0","2023-04-10 00:00:00.000"
"23476.3","135.0","0","2023-04-10 00:00:00.000"
"23476.3","136.0","0","2023-04-10 00:00:00.000"
"23476.3","137.0","0","2023-04-10 00:00:00.000"
"23476.3","138.0","0","2023-04-10 00:00:00.000"
"23476.3","139.0","0","2023-04-10 00:00:00.000"
"23476.3","140.0","0","2023-04-10 00:00:00.000"
"23476.3","141.0","0","2023-04-10 00:00:00.000"
"23476.3","142.0","0","2023-04-10 00:00:00.000"
"23476.3","143.0","0","2023-04-10 00:00:00.000"
"23476.3","144.0","0","2023-04-10 00:00:00.000"
"23476.3","145.0","0","2023-04-10 00:00:00.000"
"23476.3","146.0","0","2023-04-10 00:00:00.000"
"23476.3","147.0","0","2023-04-10 00:00:00.000"
"23476.3","148.0","0","2023-04-10 00:00:00.000"
"23476.3","149.0","0","2023-04-10 00:00:00.000"
"23476.3","150.0","0","2023-04-10 00:00:00.000"
"23476.3","151.0","0","2023-04-10 00:00:00.000"
"7523.47","8.0","0","2023-04-10 00:00:00.000"
"9818.41","10.0","0","2023-04-10 00:00:00.000"
"9818.41","11.0","0","2023-04-10 00:00:00.000"
"9818.41","12.0","0","2023-04-10 00:00:00.000"
"9818.41","13.0","0","2023-04-10 00:00:00.000"
"9818.41","15.0","0","2023-04-10 00:00:00.000"
"9818.41","16.0","0","2023-04-10 00:00:00.000"
"9818.41","18.0","0","2023-04-10 00:00:00.000"
"9818.41","19.0","0","2023-04-10 00:00:00.000"
"9818.41","20.0","0","2023-04-10 00:00:00.000"
"9818.41","23.0","0","2023-04-10 00:00:00.000"
"23476.3","148.0","0","2023-04-10 00:00:00.000"
"23476.3","150.0","0","2023-04-10 00:00:00.000"
"23476.3","151.0","0","2023-04-10 00:00:00.000"
"23476.3","155.0","0","2023-04-10 00:00:00.000"
"23476.3","157.0","0","2023-04-10 00:00:00.000"
"23476.3","158.0","0","2023-04-10 00:00:00.000"
"23476.3","159.0","0","2023-04-10 00:00:00.000"
"23476.3","152.0","0","2023-04-10 00:00:00.000"
"23476.3","153.0","0","2023-04-10 00:00:00.000"
"23476.3","154.0","0","2023-04-10 00:00:00.000"
"23476.3","155.0","0","2023-04-10 00:00:00.000"
"23476.3","156.0","0","2023-04-10 00:00:00.000"
"23476.3","157.0","0","2023-04-10 00:00:00.000"
"23476.3","158.0","0","2023-04-10 00:00:00.000"
"23476.3","159.0","0","2023-04-10 00:00:00.000"
"9975.05","46.0","0","2023-04-10 00:00:00.000"
"9975.05","47.0","0","2023-04-10 00:00:00.000"
"9975.05","48.0","0","2023-04-10 00:00:00.000"
"9975.05","49.0","0","2023-04-10 00:00:00.000"
